it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-3.7308459281921387,-3.7308459281921387,0.0,0.0,0.05000000000000001,104,298,298,298,298,68,1.0,0,0.0006125934305600822,0.008255725726485252,0.00990360975265503,0.022868560627102852,0.04627053812146187,0.06361502408981323,0.014347562566399574,0.026157742366194725,0.0316539965569973,0.005521984770894051,0.01288243755698204,0.022653698921203613,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,1.459682822227478,0.06193812936544418,0.5890721082687378,4.715616703033447,0.32493913173675537,0.0012526459759101272
10,-3.7177810668945312,-3.728912830352783,0.011126496829092503,5.1922206694143824e-06,0.04505509125832511,104,298,163,298,163,51,0.5469798657718121,135,0.00924663059413433,0.027641404420137405,0.051493436098098755,0.02725123055279255,0.04591391980648041,0.06897789239883423,0.06295694410800934,0.08713551610708237,0.09786807000637054,0.027411384508013725,0.0456625372171402,0.051015883684158325,-4.617277145385742,-4.593100547790527,0.009879660792648792,0.010121428407728672,1.4651813507080078,0.06229811906814575,0.5896716117858887,4.727668762207031,0.2975754141807556,0.002749141538515687
20,-3.5566253662109375,-3.587076187133789,0.030432388186454773,1.8457772966939956e-05,0.04013216761128589,104,298,112,298,112,25,0.37583892617449666,67,0.01514212042093277,0.03260498493909836,0.05690169334411621,0.031167568638920784,0.050926610827445984,0.06942784786224365,0.09879732131958008,0.16048674285411835,0.17005613446235657,0.03659447655081749,0.07382958382368088,0.08537745475769043,-4.631471157073975,-4.5792670249938965,0.009740418754518032,0.010262415744364262,1.4695978164672852,0.0629018247127533,0.5902665257453918,4.731526851654053,0.30021193623542786,0.005103073548525572
30,-3.653456926345825,-3.697798490524292,0.044307004660367966,3.4612970921443775e-05,0.0357471449329879,104,298,109,298,109,25,0.36577181208053694,31,0.016583671793341637,0.036588478833436966,0.07891291379928589,0.03206993639469147,0.051583029329776764,0.11230933666229248,0.11568253487348557,0.21021725237369537,0.22909745573997498,0.04113488644361496,0.11578786373138428,0.12511873245239258,-4.647380352020264,-4.564403533935547,0.009586682543158531,0.010416090488433838,1.4709274768829346,0.06420237571001053,0.5906902551651001,4.731362819671631,0.4999423921108246,0.007550898008048534
40,-3.9739456176757812,-4.026671886444092,0.052672382444143295,5.386091288528405e-05,0.031841249723592945,104,298,98,298,98,16,0.3288590604026846,23,0.018130671232938766,0.037752676755189896,0.08247947692871094,0.03335217386484146,0.054109521210193634,0.11544829607009888,0.12341800332069397,0.23377297818660736,0.3180353343486786,0.04336055740714073,0.1408465951681137,0.18416672945022583,-4.662700176239014,-4.549152851104736,0.009440936148166656,0.010576160624623299,1.4693564176559448,0.06559142470359802,0.590854823589325,4.733766555786133,0.30994531512260437,0.009493131190538406
50,-4.11375093460083,-4.174168109893799,0.06033828482031822,7.87355238571763e-05,0.028362130342459893,104,298,102,298,102,16,0.3422818791946309,24,0.018124833703041077,0.038835398852825165,0.07470420002937317,0.03422524034976959,0.05430144444108009,0.10553592443466187,0.12662442028522491,0.25981754064559937,0.4057883322238922,0.04170892387628555,0.14602619409561157,0.2251104712486267,-4.680201530456543,-4.53039026260376,0.009277144446969032,0.010776469483971596,1.4598958492279053,0.0692175105214119,0.5913633704185486,4.728571891784668,0.38739269971847534,0.013070373795926571
60,-4.336930274963379,-4.396486282348633,0.05944932997226715,0.00010665965237421915,0.02526315532667841,104,298,127,298,127,34,0.4261744966442953,37,0.015310216695070267,0.035704802721738815,0.07829800248146057,0.03295433521270752,0.056392841041088104,0.08542490005493164,0.12637928128242493,0.27822741866111755,0.4224022328853607,0.04088887572288513,0.13634441792964935,0.21708768606185913,-4.699161529541016,-4.512587070465088,0.009102906100451946,0.010970043018460274,1.4545278549194336,0.07296968251466751,0.5916258692741394,4.727867126464844,0.37234827876091003,0.015827422961592674
70,-4.409014701843262,-4.473716735839844,0.06456129252910614,0.00014069632743485272,0.022502788378502493,104,298,114,294,114,25,0.3877551020408163,35,0.016183555126190186,0.036136873066425323,0.08118021488189697,0.03465694934129715,0.059135641902685165,0.08827793598175049,0.13456039130687714,0.2766992747783661,0.4062202572822571,0.04089348763227463,0.13175088167190552,0.22047078609466553,-4.717506408691406,-4.4959282875061035,0.00893743708729744,0.01115432195365429,1.4482388496398926,0.07675806432962418,0.5920193791389465,4.728363037109375,0.42604586482048035,0.01740940287709236
80,-4.620266437530518,-4.695711135864258,0.07526130974292755,0.00018358227680437267,0.02004403164449233,104,298,131,294,131,24,0.445578231292517,31,0.015256204642355442,0.03651157766580582,0.06175106763839722,0.03474538400769234,0.059912748634815216,0.10112404823303223,0.1453610509634018,0.28755268454551697,0.3928298056125641,0.04261314123868942,0.12468535453081131,0.22064945101737976,-4.733409881591797,-4.480942249298096,0.00879642553627491,0.011322740465402603,1.4440597295761108,0.08127055317163467,0.5924532413482666,4.726737976074219,0.31027162075042725,0.01538841798901558
90,-4.663558006286621,-4.741986274719238,0.07819569855928421,0.0002325457608094439,0.01785392982450232,104,298,124,295,124,22,0.42033898305084744,23,0.017728660255670547,0.04209659621119499,0.07908409833908081,0.03745825216174126,0.06171964854001999,0.12981528043746948,0.14603327214717865,0.3096349835395813,0.39170849323272705,0.04100623354315758,0.12111128121614456,0.22058898210525513,-4.751000881195068,-4.460390567779541,0.008643040433526039,0.011557848192751408,1.4436774253845215,0.08288902044296265,0.5928303599357605,4.727935314178467,0.4996696412563324,0.018146097660064697
100,-4.764941692352295,-4.844465255737305,0.07923203706741333,0.00029148158500902355,0.0159031284639706,104,298,130,295,130,21,0.4406779661016949,22,0.01848035305738449,0.04708339273929596,0.08699226379394531,0.03838193044066429,0.06439588963985443,0.11627084016799927,0.14446833729743958,0.30598074197769165,0.4403630793094635,0.038053106516599655,0.11876858025789261,0.23470953106880188,-4.767882347106934,-4.438007354736328,0.008498357608914375,0.011819466948509216,1.4449412822723389,0.08172357827425003,0.5931410789489746,4.728026866912842,0.4559001922607422,0.02920691855251789
